Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
div_efl_ipl3_pha,div_efl_ipl3_pha,Waterpark,iPeople MT56,Waterpark,phaadm_ipl_in_cochra,phaadm,ipl,ippl,iPeople,in,cochra,,13440,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
cpcs_hra_pha,cpcs_hra_pha,Waterpark,HCA 5.6,Waterpark,phaord_mt_in,phaord,mt,mt,Meditech,in,,,14552,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
cpcs_hra_rad,cpcs_hra_rad,Waterpark,HCA 5.6,Waterpark,radord_mt_in,radord,mt,mt,Meditech,in,,,14553,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
cpcs_hra_rad,cpcs_hra_rad,Waterpark,HCA 5.6,Waterpark,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,14554,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
div_efl_ipl3,div_efl_ipl3,Waterpark,iPeople MT56,Waterpark,sch_ipl_in_cochra,sch,ipl,ippl,iPeople,in,cochra,,13441,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
div_efl_ipl3_edm,div_efl_ipl3_edm,Waterpark,iPeople MT56,Waterpark,edm_ipl_in_cochra,edm,ipl,ippl,iPeople,in,cochra,,13438,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
div_efl_ipl3_nuras,div_efl_ipl3_nuras,Waterpark,iPeople MT56,Waterpark,nuras_ipl_in_cochra,nuras,ipl,ippl,iPeople,in,cochra,,13439,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
cpcs_hra_otr,cpcs_hra_otr,Waterpark,HCA 5.6,Waterpark,immu_mt_in,immu,mt,mt,Meditech,in,,,15443,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
cpcs_hra_otr,cpcs_hra_otr,Waterpark,HCA 5.6,Waterpark,sch_mt_in,sch,mt,mt,Meditech,in,,,15444,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
cpcs_hra_otr,cpcs_hra_otr,Waterpark,HCA 5.6,Waterpark,symu_mt_in,symu,mt,mt,Meditech,in,,,15441,*default*,multi_wp_out,multi,wp,hcaeis,HCA D&IS,out,,waterpark.app.medcity.net,9001,2
