Starting_Logical_Site_Name,logical_site_name,ob_product_name,ib_product_name,Vendor,ib_threadname,ib_datatype,ib_product_mnem,ib_vendor_mnem,ib_vendor_name,ib_thread_type,ib_name_suffix,ib_thread_ip,ib_thread_port,trxid,ob_threadname,ob_datatype,ob_product_mnem,ob_vendor_mnem,ob_vendor_name,ob_thread_type,ob_name_suffix,ob_thread_ip,ob_thread_port,route_length
div_gcd_cmre,hsc_hou0_img1,MPF-Patient Folder/HPF Facility,MD - CMORE,MD - CMORE to MPF-Patient Folder/HPF Facility,imgurl_cmre_in_cpcscloe,imgurl,cmre,prvtn,Provation,in,cpcscloe,10.192.218.100,10292,*default*,img_hpf_out_hdc_1,img,hpf,mcksn,McKesson,out,hdc_1,saclvp02.unix.medcity.net,10385,8
hsc_hou0_epdf,hsc_hou0_epdf,MPF-Patient Folder/HPF Facility,MD - CMORE,MD - CMORE to MPF-Patient Folder/HPF Facility,img_cmre_in_cpcscl,img,cmre,prvtn,Provation,in,cpcscl,,10220,*default*,multi_hpf_out_epdf_3,multi,hpf,mcksn,McKesson,out,epdf_3,saclvp02.unix.medcity.net,10271,4
cpcs_cl_lab,cpcs_cl_lab,360 Encompass,HCA 5.6,360 Encompass,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,10374,*default*,labrslt_360e_out_hschou0360elab,labrslt,360e,3m,3M,out,hschou0360elab,saclvp01.unix.medcity.net,16139,4
cpcs_cl_lab,hsc_hou0_360e_lab,360 Encompass,HCA 5.6,360 Encompass,labrslt_mt_in_cpcscllab,labrslt,mt,mt,Meditech,in,cpcscllab,,16139,*default*,labrslt_360e_out_preprod_1,labrslt,360e,3m,3M,out,preprod_1,10.90.55.94,8870,4
cpcs_cl_lab,cpcs_cl_lab,360 Encompass,HCA 5.6,360 Encompass,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,10374,*default*,labrslt_360e_out_hschou0360elab,labrslt,360e,3m,3M,out,hschou0360elab,saclvp01.unix.medcity.net,16139,4
cpcs_cl_lab,hsc_hou0_360e_lab,360 Encompass,HCA 5.6,360 Encompass,labrslt_mt_in_cpcscllab,labrslt,mt,mt,Meditech,in,cpcscllab,,16139,*default*,labrslt_360e_out_prod_1,labrslt,360e,3m,3M,out,prod_1,10.90.55.41,8870,4
cpcs_cl_pha,cpcs_cl_pha,360 Encompass,iPeople,360 Encompass,phaadm_ipl_in,phaadm,ipl,ippl,iPeople,in,,,12480,*default*,phaadm_360e_out_hschou0360epha,phaadm,360e,3m,3M,out,hschou0360epha,saclvp01.unix.medcity.net,16271,4
cpcs_cl_pha,hsc_hou0_360e_pha,360 Encompass,iPeople,360 Encompass,phaadm_ipl_in_cpcsclpha,phaadm,ipl,ippl,iPeople,in,cpcsclpha,,16271,*default*,phaadm_360e_out_preprod_1,phaadm,360e,3m,3M,out,preprod_1,10.90.55.94,8875,4
cpcs_cl_pha,cpcs_cl_pha,360 Encompass,iPeople,360 Encompass,phaadm_ipl_in,phaadm,ipl,ippl,iPeople,in,,,12480,*default*,phaadm_360e_out_hschou0360epha,phaadm,360e,3m,3M,out,hschou0360epha,saclvp01.unix.medcity.net,16271,4
cpcs_cl_pha,hsc_hou0_360e_pha,360 Encompass,iPeople,360 Encompass,phaadm_ipl_in_cpcsclpha,phaadm,ipl,ippl,iPeople,in,cpcsclpha,,16271,*default*,phaadm_360e_out_prod_1,phaadm,360e,3m,3M,out,prod_1,10.90.55.41,8875,4
cpcs_cl_otr,cpcs_cl_otr,360 Encompass,iPeople,360 Encompass,edm_ipl_in,edm,ipl,ippl,iPeople,in,,,12477,*default*,edm_360e_out_hschou0360eotr,edm,360e,3m,3M,out,hschou0360eotr,saclvp01.unix.medcity.net,16237,4
cpcs_cl_otr,hsc_hou0_360e_edm,360 Encompass,iPeople,360 Encompass,edm_ipl_in_cpcsclotr,edm,ipl,ippl,iPeople,in,cpcsclotr,,16237,*default*,edm_360e_out_preprod_1,edm,360e,3m,3M,out,preprod_1,10.90.55.94,8865,4
cpcs_cl_otr,cpcs_cl_otr,360 Encompass,iPeople,360 Encompass,edm_ipl_in,edm,ipl,ippl,iPeople,in,,,12477,*default*,edm_360e_out_hschou0360eotr,edm,360e,3m,3M,out,hschou0360eotr,saclvp01.unix.medcity.net,16237,4
cpcs_cl_otr,hsc_hou0_360e_edm,360 Encompass,iPeople,360 Encompass,edm_ipl_in_cpcsclotr,edm,ipl,ippl,iPeople,in,cpcsclotr,,16237,*default*,edm_360e_out_prod_1,edm,360e,3m,3M,out,prod_1,10.90.55.41,8865,4
cpcs_cl_otr,cpcs_cl_otr,360 Encompass,iPeople,360 Encompass,nuras_ipl_in,nuras,ipl,ippl,iPeople,in,,,12479,*default*,nuras_360e_out_hschou0360eotr,nuras,360e,3m,3M,out,hschou0360eotr,saclvp01.unix.medcity.net,16254,4
cpcs_cl_otr,hsc_hou0_360e_nuras,360 Encompass,iPeople,360 Encompass,nuras_ipl_in_cpcsclotr,nuras,ipl,ippl,iPeople,in,cpcsclotr,,16254,*default*,nuras_360e_out_preprod_1,nuras,360e,3m,3M,out,preprod_1,10.90.55.94,8960,4
cpcs_cl_otr,cpcs_cl_otr,360 Encompass,iPeople,360 Encompass,nuras_ipl_in,nuras,ipl,ippl,iPeople,in,,,12479,*default*,nuras_360e_out_hschou0360eotr,nuras,360e,3m,3M,out,hschou0360eotr,saclvp01.unix.medcity.net,16254,4
cpcs_cl_otr,hsc_hou0_360e_nuras,360 Encompass,iPeople,360 Encompass,nuras_ipl_in_cpcsclotr,nuras,ipl,ippl,iPeople,in,cpcsclotr,,16254,*default*,nuras_360e_out_prod_1,nuras,360e,3m,3M,out,prod_1,10.90.55.41,8860,4
cpcs_cl_otr,div_gcd_cmre,MD - CMORE,HCA 5.6,MD - CMORE,sch_mt_in_cpcscl,sch,mt,mt,Meditech,in,cpcscl,,15882,*default*,sch_cmre_out,sch,cmre,prvtn,Provation,out,,10.192.218.100,6011,4
cpcs_cl_otr,cpcs_cl_otr,MD - CMORE,HCA 5.6,MD - CMORE,sch_mt_in,sch,mt,mt,Meditech,in,,,13782,*default*,sch_cmre_out_divgcdcmre,sch,cmre,prvtn,Provation,out,divgcdcmre,gcaclvp01.unix.medcity.net,15882,4
cpcs_cl_rad,cpcs_cl_rad,360 Encompass,HCA 5.6,360 Encompass,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,10014,*default*,radrslt_360e_out_hschou0360erad,radrslt,360e,3m,3M,out,hschou0360erad,saclvp01.unix.medcity.net,16205,4
cpcs_cl_rad,hsc_hou0_360e_rad,360 Encompass,HCA 5.6,360 Encompass,radrslt_mt_in_cpcsclrad,radrslt,mt,mt,Meditech,in,cpcsclrad,,16205,*default*,radrslt_360e_out_preprod_1,radrslt,360e,3m,3M,out,preprod_1,10.90.55.94,8880,4
cpcs_cl_rad,cpcs_cl_rad,360 Encompass,HCA 5.6,360 Encompass,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,10014,*default*,radrslt_360e_out_hschou0360erad,radrslt,360e,3m,3M,out,hschou0360erad,saclvp01.unix.medcity.net,16205,4
cpcs_cl_rad,hsc_hou0_360e_rad,360 Encompass,HCA 5.6,360 Encompass,radrslt_mt_in_cpcsclrad,radrslt,mt,mt,Meditech,in,cpcsclrad,,16205,*default*,radrslt_360e_out_prod_1,radrslt,360e,3m,3M,out,prod_1,10.90.55.41,8880,4
cpcs_cl_oe,cpcs_cl_oe,360 Encompass,HCA 5.6,360 Encompass,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,10699,*default*,oerpt_360e_out_hschou0360eoe,oerpt,360e,3m,3M,out,hschou0360eoe,saclvp01.unix.medcity.net,16659,4
cpcs_cl_oe,hsc_hou0_360e_oe,360 Encompass,HCA 5.6,360 Encompass,oerpt_mt_in_cpcscloe,oerpt,mt,mt,Meditech,in,cpcscloe,,16659,*default*,oerpt_360e_out_preprod_1,oerpt,360e,3m,3M,out,preprod_1,10.90.55.94,8850,4
cpcs_cl_oe,cpcs_cl_oe,360 Encompass,HCA 5.6,360 Encompass,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,10699,*default*,oerpt_360e_out_hschou0360eoe,oerpt,360e,3m,3M,out,hschou0360eoe,saclvp01.unix.medcity.net,16659,4
cpcs_cl_oe,hsc_hou0_360e_oe,360 Encompass,HCA 5.6,360 Encompass,oerpt_mt_in_cpcscloe,oerpt,mt,mt,Meditech,in,cpcscloe,,16659,*default*,oerpt_360e_out_prod_1,oerpt,360e,3m,3M,out,prod_1,10.90.55.41,8850,4
cpcs_cl_lab,cpcs_cl_lab,imobile,HCA 5.6,imobile,labrslt_mt_in,labrslt,mt,mt,Meditech,in,,,10374,*default*,labrslt_imob_out,labrslt,imob,mblhrt,Mobile Heartbeat,out,,10.204.64.16,30000,2
cpcs_cl_oe,cpcs_cl_oe,Envision Healthcare,HCA 5.6,Envision Healthcare,oerpt_mt_in,oerpt,mt,mt,Meditech,in,,,10699,*default*,oerpt_e2_out_divgcde2,oerpt,e2,envsnhc,Envision Healthcare,out,divgcde2,gcaclvp01.unix.medcity.net,16880,6
cpcs_cl_oe,div_gcd_e2,Envision Healthcare,HCA 5.6,Envision Healthcare,oerpt_mt_in_2,oerpt,mt,mt,Meditech,in,2,,18959,*default*,oerpt_e2_out,oerpt,e2,envsnhc,Envision Healthcare,out,,10.129.89.77,39629,6
cpcs_cl_otr,div_gcd_e2,Envision Healthcare,HCA 5.6,Envision Healthcare,sch_mt_in_cpcscl,sch,mt,mt,Meditech,in,cpcscl,,16876,*default*,sch_e2_out,sch,e2,envsnhc,Envision Healthcare,out,,10.129.89.77,39630,4
cpcs_cl_otr,cpcs_cl_otr,Envision Healthcare,HCA 5.6,Envision Healthcare,sch_mt_in,sch,mt,mt,Meditech,in,,,13782,*default*,sch_e2_out_divgcde2,sch,e2,envsnhc,Envision Healthcare,out,divgcde2,gcaclvp01.unix.medcity.net,16876,4
cpcs_cl_adt,cpcs_cl_adt,HCA 5.6,FHIR Web Services,FHIR Web Services,adt_fhir_in,adt,fhir,hcaeis,HCA D&IS,in,,,17826,*default*,adt_mt_out,adt,mt,mt,Meditech,out,,,10701,2
cpcs_cl_rad,cpcs_cl_rad,Virtual Radiologic,HCA 5.6,Virtual Radiologic,radord_mt_in,radord,mt,mt,Meditech,in,,,10016,*default*,radord_vrad_out,radord,vrad,vrtlrad,Virtual Radiologic,out,,10.129.33.212,55480,2
cpcs_cl_rad,cpcs_cl_rad,Virtual Radiologic,HCA 5.6,Virtual Radiologic,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,10014,*default*,radrslt_vrad_out,radrslt,vrad,vrtlrad,Virtual Radiologic,out,,10.129.33.212,55481,2
cpcs_cl_rad,cpcs_cl_rad,HCA 5.6,Virtual Radiologic,Virtual Radiologic,radrslt_vrad_in,radrslt,vrad,vrtlrad,Virtual Radiologic,in,,,55482,*default*,radrslt_mt_out,radrslt,mt,mt,Meditech,out,,,5161,2
cpcs_cl_adt,cpcs_cl_adt,Virtual Radiologic,HCA 5.6,Virtual Radiologic,adt_mt_in_6,adt,mt,mt,Meditech,in,6,,17184,*default*,adt_vrad_out,adt,vrad,vrtlrad,Virtual Radiologic,out,,10.129.33.212,55479,4
cpcs_cl_adt,cpcs_cl_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in,adt,mt,mt,Meditech,in,,,5151,*default*,adt_mt_out_6,adt,mt,mt,Meditech,out,6,gcaclvp01.unix.medcity.net,17184,4
cpcs_cl_adt,cpcs_cl_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in,adt,mt,mt,Meditech,in,,,5151,*default*,adt_mt_out_6,adt,mt,mt,Meditech,out,6,gcaclvp01.unix.medcity.net,17184,4
cpcs_cl_adt,cpcs_cl_adt,Pyxis Medstation ES,HCA 5.6,Pyxis Medstation ES,adt_mt_in_6,adt,mt,mt,Meditech,in,6,,17184,*default*,adt_pyes_out,adt,pyes,bd,BD,out,,10.95.61.86,19121,4
cpcs_cl_adt,cpcs_cl_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in,adt,mt,mt,Meditech,in,,,5151,*default*,adt_mt_out_6,adt,mt,mt,Meditech,out,6,gcaclvp01.unix.medcity.net,17184,4
cpcs_cl_adt,cpcs_cl_adt,FastPass,HCA 5.6,FastPass,adt_mt_in_6,adt,mt,mt,Meditech,in,6,,17184,*default*,adt_fsps_out,adt,fsps,sisco,Sisco,out,,10.204.122.165,9333,4
cpcs_cl_adt,cpcs_cl_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in,adt,mt,mt,Meditech,in,,,5151,*default*,adt_mt_out_6,adt,mt,mt,Meditech,out,6,gcaclvp01.unix.medcity.net,17184,4
cpcs_cl_adt,cpcs_cl_adt,ReDoc Xfit,HCA 5.6,ReDoc Xfit,adt_mt_in_6,adt,mt,mt,Meditech,in,6,,17184,*default*,adt_redx_out,adt,redx,nthl,Net Health,out,,10.65.66.91,14164,4
cpcs_cl_adt,cpcs_cl_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in,adt,mt,mt,Meditech,in,,,5151,*default*,adt_mt_out_6,adt,mt,mt,Meditech,out,6,gcaclvp01.unix.medcity.net,17184,6
cpcs_cl_adt,div_gcd_dbmo_adt,Cloudera Kafka,HCA 5.6,Cloudera Kafka,adt_mt_in_cpcscladt,adt,mt,mt,Meditech,in,cpcscladt,,40818,ADT_A17,adt_kfka_out_hl7dbmncliadt,adt,kfka,hca,HCA,out,hl7dbmncliadt,intserv.cloverleaf.hl7-dbmo-adt.1.0.0,,6
cpcs_cl_adt,cpcs_cl_adt,db Motion,HCA 5.6,db Motion,adt_mt_in_6,adt,mt,mt,Meditech,in,6,,17184,*default*,adt_dbmo_out_divgcddbmoadt,adt,dbmo,dbmo,dbMotion,out,divgcddbmoadt,gcaclvp01.unix.medcity.net,40818,6
cpcs_cl_adt,cpcs_cl_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in,adt,mt,mt,Meditech,in,,,5151,*default*,adt_mt_out_6,adt,mt,mt,Meditech,out,6,gcaclvp01.unix.medcity.net,17184,6
cpcs_cl_adt,div_gcd_init,Initiate,HCA 5.6,Initiate,adt_mt_in_cpcscladt,adt,mt,mt,Meditech,in,cpcscladt,,40849,*default*,adt_init_out_mt,adt,init,init,Initiate,out,mt,Xrdclpintpah01.unix.medcity.net,17007,6
cpcs_cl_adt,cpcs_cl_adt,Initiate,HCA 5.6,Initiate,adt_mt_in_6,adt,mt,mt,Meditech,in,6,,17184,*default*,adt_init_out_divgcdinit,adt,init,init,Initiate,out,divgcdinit,gcaclvp01.unix.medcity.net,40849,6
cpcs_cl_adt,cpcs_cl_adt,HCA 5.6,HCA 5.6,HCA 5.6,adt_mt_in,adt,mt,mt,Meditech,in,,,5151,*default*,adt_mt_out_6,adt,mt,mt,Meditech,out,6,gcaclvp01.unix.medcity.net,17184,6
cpcs_cl_adt,div_gcd_init,Initiate,HCA 5.6,Initiate,adt_mt_in_cpcscladt,adt,mt,mt,Meditech,in,cpcscladt,,40849,*default*,guar_init_out,guar,init,init,Initiate,out,,xrdclpintpah01.unix.medcity.net,18507,6
cpcs_cl_adt,cpcs_cl_adt,Initiate,HCA 5.6,Initiate,adt_mt_in_6,adt,mt,mt,Meditech,in,6,,17184,*default*,adt_init_out_divgcdinit,adt,init,init,Initiate,out,divgcdinit,gcaclvp01.unix.medcity.net,40849,6
cpcs_cl_rad,div_gcd_e2_rad,Envision Healthcare,HCA 5.6,Envision Healthcare,radrslt_mt_in_cpcscl,radrslt,mt,mt,Meditech,in,cpcscl,,17420,*default*,radrslt_e2_out,radrslt,e2,envsnhc,Envision Healthcare,out,,10.129.89.77,39988,4
cpcs_cl_rad,cpcs_cl_rad,Envision Healthcare,HCA 5.6,Envision Healthcare,radrslt_mt_in,radrslt,mt,mt,Meditech,in,,,10014,*default*,radrslt_e2_out_divgcde2rad,radrslt,e2,envsnhc,Envision Healthcare,out,divgcde2rad,gcaclvp01.unix.medcity.net,17420,4
cpcs_cl_oe,cpcs_cl_oe,360 Encompass,iPeople,360 Encompass,oeord_ipl_in,oeord,ipl,ippl,iPeople,in,,,15417,*default*,oeord_360e_out_hschou0360eoe,oeord,360e,3m,3M,out,hschou0360eoe,saclvp01.unix.medcity.net,17775,4
cpcs_cl_oe,hsc_hou0_360e_oe,360 Encompass,iPeople,360 Encompass,oeord_ipl_in_cpcscloe,oeord,ipl,ippl,iPeople,in,cpcscloe,,17775,*default*,oeord_360e_out_preprod_1,oeord,360e,3m,3M,out,preprod_1,10.90.55.94,8890,4
cpcs_cl_oe,cpcs_cl_oe,360 Encompass,iPeople,360 Encompass,oeord_ipl_in,oeord,ipl,ippl,iPeople,in,,,15417,*default*,oeord_360e_out_hschou0360eoe,oeord,360e,3m,3M,out,hschou0360eoe,saclvp01.unix.medcity.net,17775,4
cpcs_cl_oe,hsc_hou0_360e_oe,360 Encompass,iPeople,360 Encompass,oeord_ipl_in_cpcscloe,oeord,ipl,ippl,iPeople,in,cpcscloe,,17775,*default*,oeord_360e_out_prod_1,oeord,360e,3m,3M,out,prod_1,10.90.55.41,8890,4
